user_id,name,posts,followers,following,PVT,date_joined,former_usernames,verified
adara_kbeautyclinic_academy,Adara K Beauty Clinic,"1,809",51.3K,"1,881",False,February 2020,3,1
addie_mccracken123,Addie McCracken,308,6.2M,190,False,March 2016,1,1
addie07_,⚡️آدتیہ⚡️,86,"1,858",904,False,February 2022,2,0
zen.addie,CEO ZEN,219,273K,41,False,January 2016,,0
addiexrya,𝘼𝙙𝙙𝙞𝙚,14,10.6K,683,False,February 2021,2,0
addie_x10,ادیبہ فرحان خان,38,"1,784",139,False,July 2022,,0
addison.timlin,Addison Timlin,611,346K,"1,348",False,July 2016,,1
addisonraee,Addison,114,34.2M,"1,841",False,February 2013,,1
addish_bourne,Addish Bourne,6,171,412,True,July 2017,1,0
addis_akkara,Addis Antony Akkara,368,103K,541,False,July 2016,,1
addskindness,addison rae updates,"1,963","5,651",109,False,November 2022,,0
adelsajan,Adel Sajan,959,203K,993,False,April 2012,,1
_adel_brand,Одежда |Мини Цех | Бишкек| Ателье,108,609,1,False,January 2022,2,0
adel_tawil.fans,adeltawil,2,"1,200",90,False,August 2021,7,0
adele,Adele,508,58.3M,1,False,October 2015,,1
strikersbbl,Adelaide Strikers,"3,646",176K,157,False,August 2013,,1
adeladadoll,adela,93,123K,182,False,March 2015,,0
adelag_official,Adela Guerra,200,660K,311,False,January 2022,,1
adelajergova,ADÉLA JERGOVÁ,192,163K,"1,255",False,July 2015,1,1
strikersbbl,Adelaide Strikers,"3,646",176K,157,False,August 2013,,1
adelsvozilova,𝑨𝒅𝒆𝒍𝒂,229,"2,299",489,False,August 2013,1,0
adelaidekane,Adelaide Kane,183,1.9M,857,False,May 2012,,1
cityofadelaide,City of Adelaide,"1,800",92.2K,395,False,November 2012,,0
uniofadelaide,University of Adelaide,"2,178",77.7K,496,False,August 2012,,1
adelaideoval,Adelaide Oval,"2,590",44.5K,249,False,October 2013,,0
strikersbbl,Adelaide Strikers,"3,646",176K,157,False,August 2013,,1
adelebabegirl,,303,"3,018",4,False,November 2023,1,0
_annu_98878,Adele🥰🥰,29,131,177,False,July 2024,2,0
_shi_singh.19_,Shivani Singh,171,"4,662",177,True,January 2017,,0
vshiv_ani,ShIvAnI VeRmA,134,149,339,True,April 2017,,0
shivani_thakur5,SHIVANI✨,9,117,145,True,January 2017,,0
